country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,DTP1,73,73,73,73,73,76,78,78,72.0,72.0,75.0,76.0,75.0,76.0,72.0,66.0,62.0,59.0,48.0,52.0,52.0,48.0,56.0,44.0,33.0,41.0,45.0,47.0,50.0,58.0,60.0,50.0,32.0,37.0,39.0,24.0,24.0,,22.0
Albania,DTP1,99,99,99,99,99,99,99,99,99.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,98.0,97.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,92.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0
Algeria,DTP1,96,95,96,99,99,99,99,99,99.0,98.0,97.0,98.0,98.0,94.0,93.0,93.0,93.0,92.0,95.0,92.0,94.0,96.0,96.0,96.0,95.0,96.0,96.0,96.0,96.0,95.0,93.0,92.0,92.0,88.0,,,,,
Andorra,DTP1,99,99,99,99,99,96,99,99,99.0,99.0,99.0,96.0,96.0,99.0,99.0,99.0,99.0,96.0,99.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,
Angola,DTP1,67,61,67,65,69,67,73,79,85.0,71.0,81.0,66.0,52.0,50.0,66.0,60.0,60.0,54.0,44.0,51.0,59.0,66.0,53.0,48.0,52.0,55.0,45.0,51.0,48.0,41.0,33.0,31.0,31.0,28.0,28.0,25.0,,,
Antigua and Barbuda,DTP1,99,96,97,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,98.0,98.0,99.0,97.0,99.0,92.0,92.0,77.0
Argentina,DTP1,91,91,97,94,98,94,94,94,95.0,94.0,97.0,94.0,93.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,95.0,94.0,93.0,93.0,93.0,95.0,93.0,93.0,91.0,86.0,86.0,83.0,82.0,80.0,73.0,69.0
Armenia,DTP1,96,97,97,97,97,97,98,98,98.0,97.0,96.0,96.0,95.0,96.0,97.0,98.0,98.0,98.0,97.0,97.0,93.0,96.0,95.0,98.0,95.0,95.0,95.0,,,,,,,,,,,,
Australia,DTP1,98,98,98,97,92,92,92,92,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,84.0,91.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,97.0,96.0,93.0,91.0,87.0,83.0,78.0,72.0,65.0,58.0
Austria,DTP1,90,94,95,97,99,98,97,96,95.0,94.0,94.0,95.0,86.0,99.0,99.0,90.0,99.0,99.0,99.0,93.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
Azerbaijan,DTP1,96,97,98,97,96,95,94,94,94.0,90.0,90.0,87.0,86.0,81.0,84.0,83.0,82.0,83.0,83.0,83.0,81.0,78.0,82.0,79.0,77.0,65.0,64.0,,,,,,,,,,,,
Bahamas,DTP1,94,98,95,99,96,99,99,99,99.0,99.0,99.0,98.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,95.0,95.0,95.0,95.0,95.0,95.0,87.0,85.0,87.0,78.0,61.0
Bahrain,DTP1,99,98,99,98,98,99,99,99,99.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,96.0,98.0,99.0,97.0,97.0,99.0,97.0,98.0,98.0,98.0,97.0,96.0,95.0,94.0,92.0,91.0,89.0
Bangladesh,DTP1,99,99,99,99,99,98,97,99,98.0,99.0,99.0,98.0,97.0,97.0,99.0,93.0,95.0,94.0,92.0,91.0,89.0,92.0,91.0,87.0,94.0,79.0,86.0,88.0,86.0,73.0,39.0,29.0,22.0,20.0,18.0,18.0,18.0,18.0,
Barbados,DTP1,96,90,99,99,98,97,96,95,94.0,93.0,85.0,93.0,94.0,97.0,97.0,91.0,92.0,92.0,93.0,95.0,96.0,98.0,95.0,97.0,96.0,95.0,96.0,94.0,97.0,92.0,91.0,92.0,92.0,94.0,94.0,87.0,83.0,80.0,82.0
Belarus,DTP1,97,97,99,99,97,99,98,99,99.0,98.0,98.0,99.0,99.0,99.0,99.0,74.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,96.0,,,,,,,,,,,,
Belgium,DTP1,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,93.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
